id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
52457,Women,Apparel,Loungewear and Nightwear,Nightdress,Grey,Summer,2017.0,Casual,Red Rose Women Grey Nightdress
45108,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO ENTICER Men Black Printed Dial Watch A020 MQ-76-L7A1UL
36476,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Spinn Men Agile Black Shoes
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses
46576,Women,Accessories,Watches,Watches,Gold,Winter,2016.0,Casual,Timex Women Golden Dial Watch
35971,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Flying Machine Men Tee Black T-shirt
50992,Women,Apparel,Loungewear and Nightwear,Nightdress,Beige,Summer,2017.0,Casual,Enamor Women Beige Nightdress
9840,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Spykar Men White Polo T-Shirts
14690,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Casual,Basics Men Grey Trousers
5186,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Dark Knight Men's Joker Color Splash Black T-shirt
11781,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Lee Men Printed Navy Blue Tshirts
7956,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2011.0,Casual,Puma Men's Jersey Grey Short
26943,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Jealous 21 Women Printed Yellow T-shirt
20271,Women,Footwear,Shoes,Flats,Black,Winter,2015.0,Casual,Catwalk Women Black Shoe
3759,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Status Quo Men's Harbour Island Purple T-shirt
49618,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Bronze Heels
10184,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Indigo Nation Men  White Stripe Shirt
23932,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Lotto Men White Advantage  Sports Shoes
25865,Unisex,Accessories,Bags,Backpacks,Blue,Winter,2015.0,Casual,American Tourister Unisex Blue Backpack
7799,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Puma Men's Manilla Hi White Shoe
45168,Men,Accessories,Watches,Watches,Navy Blue,Winter,2016.0,Casual,Casio Enticer Men Silver Analogue Watch MTP-1314D-2AVDF(A551)
31706,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016.0,Ethnic,Fabindia Women Ananya Gold Earrings
17368,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011.0,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack
58627,Women,Accessories,Jewellery,Bangle,Yellow,Winter,2016.0,Casual,ToniQ Women Yellow Bangles
21526,Women,Accessories,Bags,Handbags,Red,Winter,2015.0,Casual,Kiara Women Glossy Red Handbag
11954,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Ganuchi Men Casual Black Casual Shoes
38609,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Printed Blue T-shirt
8943,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Blue Shirts
59059,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Global Desi Women Green Kurta
51699,Unisex,Accessories,Eyewear,Sunglasses,Silver,Winter,2016.0,Casual,Van Heusen Unisex Blue Aviator Sunglasses VH217-C2
41797,Women,Apparel,Topwear,Tunics,Pink,Summer,2012.0,Casual,Remanika Women Printed Pink Tunic
52315,Women,Accessories,Jewellery,Bangle,Brown,Winter,2016.0,Casual,ToniQ Women Brown Set of 2 Bangles
48935,Women,Accessories,Jewellery,Ring,Silver,Summer,2015.0,Casual,Lucera Women Silver Ring
3193,Men,Apparel,Topwear,Tshirts,Beige,Summer,2011.0,Casual,Tantra Men's Nerds Light Brown T-shirt
11548,Women,Apparel,Topwear,Kurtas,Black,Summer,2011.0,Ethnic,W Women Printed Black Kurtas
32567,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,ONLY Women Blue Jeans
28322,Men,Footwear,Sandal,Sandals,Black,Winter,2018.0,Casual,Red Tape Men Casual Black Sandals
4226,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Probase Men's Last Week Grey T-shirt
6909,Women,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Tantra Women's Page 03 Grey T-shirt
27004,Women,Apparel,Bottomwear,Jeggings,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Light Blue Jeggings
25297,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Lino Perros Women Sporty Light Brown Handbag
20616,Women,Accessories,Bags,Handbags,Olive,Winter,2015.0,Casual,Baggit Women Libra Jhuti Olive Handbag
42001,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Gini and Jony Girls Kinky Pink Capris
23638,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,DC Comics Men Green T-shirt
39239,Women,Apparel,Loungewear and Nightwear,Nightdress,Blue,Summer,2017.0,Casual,Femella Women Blue Nightdress
28072,Men,Apparel,Innerwear,Trunk,Black,Summer,2016.0,Casual,Jockey MC Men Black Midway Classic Trunks 1101
18596,Men,Accessories,Wallets,Wallets,Black,Fall,2011.0,Casual,New Hide Men Casual Black Wallet
23339,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2010.0,Sports,Reebok Men Negotiator Grey Sport Shoes
4991,Women,Apparel,Dress,Dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Sara Off White Polka Dot Kidswear
30302,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Evil Minds Off White T-shirt
6928,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Timberland Men's Rugby Pique Golden Rod T-shirt
3400,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Brown Hobo Handbag
36826,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta
32591,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,ONLY Women Pink Skirt
